Projeto,Ano,Tipo,Autor,Ementa,Situação,Cod_Tipo,Id_Projeto,Data_Projeto
5500.0,2013.0,Requerimento,Jucelio,Solicita construção de bocas de lobo em algumas ruas do bairro Dom Bosco.,Arquivada,REQ,46084,09/07/2013
5499.0,2013.0,Requerimento,Jucelio,"Solicita junto a Empav, um estudo para viabilidade da transformação em rua, a passagem que fica localizada entre as ruas João Beghelli e Vicente Beghelli.",Arquivada,REQ,46083,09/07/2013
5498.0,2013.0,Requerimento,Jucelio,"Solicita a Secretaria de Obras, continuidade as reformas iniciadas no Oratório do bairro Dom Bosco.",Arquivada,REQ,46082,09/07/2013
5497.0,2013.0,Requerimento,Jucelio,"Solicita junto ao Demlurb, capina e limpeza no Oratório localizado entre as ruas Silvério da Silveira e Dr. José Claro Dia, no bairro Dom Bosco.",Arquivada,REQ,46081,09/07/2013
5496.0,2013.0,Requerimento,Jucelio,Solicita manutenção e revitalização do campo de futebol do bairro Dom Orione.,Arquivada,REQ,46080,09/07/2013
5495.0,2013.0,Requerimento,Jucelio,"Solicita junto a Settra, sinalização no cruzamento da rua Vicente Beghelli com as ruas Antônio Marinho Saraiva e Nossa Senhora da Imaculada Conceição.",Arquivada,REQ,46079,09/07/2013
5494.0,2013.0,Requerimento,Jucelio,"Solicita junto ao Demlurb, capina e limpeza nas ruas Vicente Beghelli e Dr. José Claro Dia, no bairro Dom Bosco.",Arquivada,REQ,46078,09/07/2013
5493.0,2013.0,Requerimento,Jucelio,"Solicita junto a Secretaria de Obras, estudo para viabilizar que transforme em rua, a passagem localizada entre as ruas João Beghelli e Vicente Beghelli.",Arquivada,REQ,46077,09/07/2013
5492.0,2013.0,Requerimento,Dr. Antônio Aguiar,"Solicita operação tapa buraco na rua General Mario Xavier, no bairro Jardim Laranjeiras.",Arquivada,REQ,46196,09/07/2013
5490.0,2013.0,Requerimento,Dr. Antônio Aguiar,"Solicita junto a Secretaria de Saúde,providências quanto ao foco de pernilongos na rua Vereador José Gasparette, no bairro Bom Clima.",Arquivada,REQ,46194,09/07/2013
5489.0,2013.0,Requerimento,Dr. Antônio Aguiar,"Solicita desentupimento de bueiro na Praça Artur Bernardes, no bairro Bandeirantes.",Arquivada,REQ,46192,09/07/2013
5488.0,2013.0,Requerimento,Dr. Antônio Aguiar,"Solicita conserto de bueiro e boca de lobo na rua Antônio de Paula Mendes, no bairro Bandeirantes.",Arquivada,REQ,46191,09/07/2013
5487.0,2013.0,Requerimento,Dr. Antônio Aguiar,"Solicita conserto da boca de lobo da rua Antônio Gomes Costa, no bairro Bandeirantes.",Arquivada,REQ,46201,09/07/2013
5486.0,2013.0,Requerimento,Dr. Antônio Aguiar,"Solicita junto a Empav, pedido de limpeza e revitalização da praça do bairro Grambery.",Arquivada,REQ,46190,09/07/2013
