Projeto,Ano,Tipo,Ementa,Situação,Codigo_Tipo,Id_Projeto,Data_Projeto,Tramitacao_Encerrada,Aprovado
5170,2017,Requerimento,tapa buracos na rua Dr. Gerhein em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64405,,,
5169,2017,Requerimento,tapa buracos na rua Cel. Pedro Porto em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64403,,,
5168,2017,Requerimento,tapa buracos na rua Maria Geralda de Freitas em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64400,,,
5167,2017,Requerimento,tapa buracos na rua Benedito Sebastião em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64374,,,
5166,2017,Requerimento,tapa buracos na rua Nazita Matar de Freitas em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64373,,,
5165,2017,Requerimento,tapa buracos na rua Humaitá em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64372,,,
5164,2017,Requerimento,tapa buracos na rua Pedro Rozani em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64371,,,
5163,2017,Requerimento,tapa buracos na rua Cel. Quintão em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64370,,,
5162,2017,Requerimento,tapa buracos na rua Dr. Norberto Gerhein em toda sua extensão no bairro Cerâmica.,Aprovado,REQ,64369,,,
5161,2017,Requerimento,tapa buracos na rua Mariano Fortes em toda sua extensão no bairro Cerâmica.,Aprovado,REQ,64368,,,
5160,2017,Requerimento,tapa buracos na rua Osmar Cortes Claro em toda sua extensão no bairro Cerâmica.,Aprovado,REQ,64367,,,
5159,2017,Requerimento,tapa buracos na rua José Martins da Silva em toda sua extensão no bairro Cerâmica.,Aprovado,REQ,64366,,,
5158,2017,Requerimento,tapa buracos na Av. Santa Cândida em toda sua extensão no bairro Cerâmica.,Aprovado,REQ,64365,,,
5157,2017,Requerimento,tapa buracos na Av. Lúcio Bitencourt em toda sua extensão no bairro Industrial.,Aprovado,REQ,64364,,,
5156,2017,Requerimento,tapa buracos na rua José de Araújo Braga em toda sua extensão no bairro Industrial.,Aprovado,REQ,64363,,,
5155,2017,Requerimento,tapa buracos na rua João Gualberto em toda sua extensão no bairro Industrial.,Aprovado,REQ,64362,,,
5154,2017,Requerimento,tapa buracos na rua Ibraim Bitar em toda sua extensão no bairro Industrial,Aprovado,REQ,64361,,,
5153,2017,Requerimento,tapa buracos na rua Eliza de Araújo Braga em toda sua extensão no bairro Industrial.,Aprovado,REQ,64360,,,
5152,2017,Requerimento,tapa buracos na rua Henrique Simões em toda sua extensão no bairro Industrial.,Aprovado,REQ,64359,,,
5151,2017,Requerimento,tapa buracos na rua Nunes Lima em toda sua extensão no bairro Industrial.,Aprovado,REQ,64358,,,
5150,2017,Requerimento,tapa buracos na rua José Marangom em toda sua extensão no bairro Industrial.,Aprovado,REQ,64357,,,
5149,2017,Requerimento,tapa buracos na rua Augusto Mariane em toda sua extensão no bairro Industrial.,Aprovado,REQ,64356,,,
5148,2017,Requerimento,tapa buracos na rua Júlia Lopes em toda sua extensão no bairro Industrial.,Aprovado,REQ,64355,,,
5147,2017,Requerimento,tapa buracos na rua Conego Roussim em toda sua extensão no bairro Industrial.,Aprovado,REQ,64354,,,
5146,2017,Requerimento,tapa buracos na rua Dalila Leri em toda sua extensão no bairro Industrial.,Aprovado,REQ,64353,,,
5145,2017,Requerimento,tapa buracos na rua Mário Nogueira em toda sua extensão no bairro Industrial.,Aprovado,REQ,64352,,,
5144,2017,Requerimento,tapa buracos na rua Avelino Milagres em toda sua extensão no bairro Industrial.,Aprovado,REQ,64351,,,
5143,2017,Requerimento,tapa buracos na rua Waldemar Machado Mendonça em toda sua extensão no bairro Industrial.,Aprovado,REQ,64350,,,
5142,2017,Requerimento,tapa buracos na rua Eucherio Rodrigues em toda sua extensão no bairro Industria,Aprovado,REQ,64349,,,
5141,2017,Requerimento,tapa buracos na rua Pedro Moreira Cavalcante em toda sua extensão no bairro Jardim Natal.,Aprovado,REQ,64348,,,
5140,2017,Requerimento,tapa buracos na rua Miguel Marcos Péres em toda sua extensão no bairro Jardim Natal.,Aprovado,REQ,64347,,,
5139,2017,Requerimento,tapa buracos na rua Otávio Schettino em toda sua extensão no bairro Jardim Natal.,Aprovado,REQ,64346,,,
