Projeto,Ano,Tipo,Autor,Ementa,Situação
2090.0,2012.0,Requerimento,Castelar,"Solicita o desentupimento da boca de lobona rua Paracatu, bairro Santa Terezinha.",Em Tramitação
2089.0,2012.0,Requerimento,Chico Evangelista,"Solicita asfaltar toda extensão da rua Otacílio Esteves da Silva, bairro Granjas Bethânia.",Em Tramitação
2088.0,2012.0,Representação,Tico-Tico,"Solicita a iluminação no loteamento 03, escadão no bairro Filgueiras.",Aprovado
2087.0,2012.0,Requerimento,Wanderson Castelar,"Solicita a implantação de sinalização alerta de PARE, na esquina da rua Branca Mascarenhas com Rua Geraldo Gomes Ribeiro.",Em Tramitação
2086.0,2012.0,Requerimento,Wanderson Castelar,"Solicita a verificação do risco que uma intervenção na rede de esgoto/pluvial pela Cesama na rua Geraldo Scaldini Machado, bairro Jardim Natal.",Em Tramitação
2085.0,2012.0,Requerimento,Betão,"Solicita a iluminação na rua A, bairro Milho Branco II.",Em Tramitação
2084.0,2012.0,Requerimento,Betão,"Solicita redutores de velocidades nas ruas A, F e G, no bairro Milho Branco II.",Em Tramitação
2083.0,2012.0,Requerimento,Betão,"Solicita implantar o serviço de entrega de correspondencias, nas ruas A, F e G, bairro Milho Branco II",Em Tramitação
2082.0,2012.0,Requerimento,Betão,"Solicita reparos na galeria de água, próximo ao campo de futebol do bairro Olavo Costa.",Em Tramitação
2081.0,2012.0,Requerimento,Flávio Cheker,"Solicita o recapeamento asfáltico para a valeta aberta para a ligação de água na rua Prof. Francisco Faria, no Bairro Bairu.",Em Tramitação
2080.0,2012.0,Requerimento,Flávio Cheker,"Solicita que resolva o constante problema de entupimento da boca de lobo nas esquinas das ruas Comendador Pereira da Silva com a rua Ribeiro de Abreu, bairro Bairu.",Em Tramitação
2079.0,2012.0,Requerimento,Flávio Cheker,"Solicita capina, limpeza e serviços gerais de urbanização, tais como iluminação e calçamento para a Rua José Lourenço, no Bairro Borboleta.",Em Tramitação
2078.0,2012.0,Requerimento,Tico-Tico,Solicita a reforma na quadra poliesportiva do bairro Nossa Senhora das Graças na Rua Aníbal Alves.,Em Tramitação
2077.0,2012.0,Requerimento,Tico-Tico,Solicita a reforma na quadra poliesportiva do bairro Democrata.,Em Tramitação
2076.0,2012.0,Requerimento,Tico-Tico,Solicita a iluminação em toda extensão da Estrada de Filgueiras.,Em Tramitação
2075.0,2012.0,Requerimento,Tico-Tico,Solicita o corte de árvore na rua Queluz no bairro Eldorado.,Em Tramitação
2074.0,2012.0,Requerimento,Tico-Tico,Solicita o corte de uma árvore no Escadão da Travessa Pitangui bairro Eldorado.,Em Tramitação
2073.0,2012.0,Requerimento,Gasparette,"Solicita a troca das manilhas no cruzamento das ruas José Teixeira da Silva com a rua Negrão de Lima, bairro Cidade do Sol.",Em Tramitação
2072.0,2012.0,Requerimento,Gasparette,Solicita o recapeamento asfaltico em todas as ruas do bairro Cidade do Sol,Em Tramitação
2071.0,2012.0,Requerimento,Gasparette,Solicita a retirada das raízes das árvores que foram cortadas em todas as ruas da Cidade do Sol.,Em Tramitação
2070.0,2012.0,Requerimento,Isauro Calais,Solicita a substituição do ponto de ônibus localizado entre as ruas Engenheiro Bicalho e Antônio Passarela.,Em Tramitação
2069.0,2012.0,Requerimento,Isauro Calais,"Solicita a recomposição do asfalto na rua José Cabral dos Reis, bairro Vila Esperança II",Em Tramitação
2068.0,2012.0,Requerimento,Isauro Calais,"Solicita a limpeza e capina do corrego, na rua Eurico Viana, bairro Vila Alpina",Em Tramitação
2067.0,2012.0,Requerimento,Isauro,"Solicita o reparo na rede de esgoto da rua São Tarcísio, no bairro Nossa Senhora Aparecida.",Em Tramitação
2066.0,2012.0,Requerimento,José Emanuel,Solicita junto ao órgão competente cópia das últimas alterações constratuais dos Acionistas da empresa Auto Viação Norte.,Em Tramitação
2065.0,2012.0,Requerimento,Chico Evangelista,"Solicita um estudo para a construção de uma rede de capitação de águas pluviais, na rua Luíz Basílio Castor, entre o número 175 a 290, no bairro Santa Luzia.",Em Tramitação
