Projeto,,Ano,,Tipo,,Autor,,Ementa,,Situação
,,,,,,,,,,
5754,   ,2013,,Requerimento,,Chico Evangelista,,"Solicita junto a Secretaria de Saúde, que os funcionários do Setor de Combate à endemias, possam ser dispensados do trabalho nos dias 02 e 03 de janeiro de 2014.",,Arquivada
,,,,,,,,,,
5753,   ,2013,,Requerimento,,Cido Reis,,"Solicita permissão para se ausentar do Município nos dias 04, 05 e 06 de Dezembro do ano corrente.",,Arquivada
,,,,,,,,,,
5751,   ,2013,,Requerimento,,Dr. Antônio Aguiar,,"Solicita junto a Secretaria de Governo, informar sobre a retirada das máquinas do Telecentro Comunitário.",,Arquivada
,,,,,,,,,,
5750,   ,2013,,Requerimento,,Dr. Antônio Aguiar,,"Solicita que seja encaminhada para Câmara Municipal de Juiz de Fora, a Planilha de Repasses de Despesas de Pessoas dos Agentes Comunitários de Saúde de Combates as Endemias.",,Arquivada
,,,,,,,,,,
5749,   ,2013,,Requerimento,,Dr. Antônio Aguiar,,"Solicita junto a Secretaria de Administração e Recursos Humanos, para viabilizar a inclusão do SINDACE na Lei Orgânica do Município.",,Arquivada
,,,,,,,,,,
5748,   ,2013,,Requerimento,,Dr. Antônio Aguiar,,"Solicita junto a Secretaria de Saúde, providências para os Agentes de Combate as Endemias.",,Arquivada
,,,,,,,,,,
